Asset name,ASN19578 Hov?ùs Kedjestigen,
Exported on,"12 October 2021, 09:40:51",
Timezone,UTC +2,
,,
Date/Time,"Water level, nap (cm)",Temperature (?¯C)
20-08-2021 15:45,4,22.9
20-08-2021 15:50,4,22.8
20-08-2021 15:55,4,22.7
20-08-2021 16:00,4,22.6
20-08-2021 16:05,3,22.5
20-08-2021 16:10,3,22.4
20-08-2021 16:15,3,22.4
20-08-2021 16:20,3,22.3
20-08-2021 16:25,3,22.2
20-08-2021 16:30,3,22.2
20-08-2021 16:35,4,22.1
20-08-2021 16:40,4,22.1
20-08-2021 16:45,4,22
20-08-2021 16:50,4,21.9
20-08-2021 16:55,4,21.9
20-08-2021 17:00,5,21.8
20-08-2021 17:05,4,21.8
20-08-2021 17:10,5,21.8
20-08-2021 17:15,5,21.7
20-08-2021 17:20,5,21.7
20-08-2021 17:25,4,21.7
20-08-2021 17:30,4,21.7
20-08-2021 17:35,4,21.7
20-08-2021 17:40,4,21.7
20-08-2021 17:45,4,21.6
20-08-2021 17:50,4,21.6
20-08-2021 17:55,4,21.6
20-08-2021 18:00,4,21.5
20-08-2021 18:05,4,21.5
20-08-2021 18:10,4,21.5
20-08-2021 18:15,4,21.4
20-08-2021 18:20,4,21.4
20-08-2021 18:25,4,21.4
20-08-2021 18:30,4,21.3
20-08-2021 18:35,4,21.3
20-08-2021 18:40,4,21.3
20-08-2021 18:45,4,21.2
20-08-2021 18:50,4,21.2
20-08-2021 18:55,4,21.2
20-08-2021 19:00,4,21.1
20-08-2021 19:05,4,21.1
20-08-2021 19:10,4,21
20-08-2021 19:15,5,21
20-08-2021 19:20,4,21
20-08-2021 19:25,4,20.9
20-08-2021 19:30,4,20.9
20-08-2021 19:35,4,20.9
20-08-2021 19:40,4,20.8
20-08-2021 19:45,4,20.8
20-08-2021 19:50,4,20.7
20-08-2021 19:55,4,20.7
20-08-2021 20:00,4,20.6
20-08-2021 20:05,4,20.6
20-08-2021 20:10,4,20.5
20-08-2021 20:15,4,20.5
20-08-2021 20:20,4,20.4
20-08-2021 20:25,4,20.3
20-08-2021 20:30,4,20.3
20-08-2021 20:35,4,20.2
20-08-2021 20:40,4,20.2
20-08-2021 20:45,4,20.1
20-08-2021 20:50,4,20.1
20-08-2021 20:55,4,20
20-08-2021 21:00,4,19.9
20-08-2021 21:05,4,19.9
20-08-2021 21:10,4,19.8
20-08-2021 21:15,4,19.8
20-08-2021 21:20,4,19.7
20-08-2021 21:25,4,19.7
20-08-2021 21:30,4,19.6
20-08-2021 21:35,4,19.6
20-08-2021 21:40,4,19.5
20-08-2021 21:45,4,19.5
20-08-2021 21:50,4,19.5
20-08-2021 21:55,4,19.4
20-08-2021 22:00,4,19.4
20-08-2021 22:05,4,19.4
20-08-2021 22:10,5,19.3
20-08-2021 22:15,4,19.3
20-08-2021 22:20,3,19.3
20-08-2021 22:25,4,19.3
20-08-2021 22:30,3,19.2
20-08-2021 22:35,4,19.2
20-08-2021 22:40,4,19.2
20-08-2021 22:45,4,19.2
20-08-2021 22:50,4,19.1
20-08-2021 22:55,4,19.1
20-08-2021 23:00,4,19.1
20-08-2021 23:05,4,19.1
20-08-2021 23:10,4,19
20-08-2021 23:15,4,19
20-08-2021 23:20,4,19
20-08-2021 23:25,4,19
20-08-2021 23:30,4,18.9
20-08-2021 23:35,4,18.9
20-08-2021 23:40,4,18.9
20-08-2021 23:45,4,18.9
20-08-2021 23:50,4,18.8
20-08-2021 23:55,4,18.8
21-08-2021 00:00,4,18.8
21-08-2021 00:05,4,18.7
21-08-2021 00:10,4,18.7
21-08-2021 00:15,3,18.7
21-08-2021 00:20,3,18.6
21-08-2021 00:25,3,18.6
21-08-2021 00:30,3,18.6
21-08-2021 00:35,3,18.6
21-08-2021 00:40,3,18.5
21-08-2021 00:45,4,18.5
21-08-2021 00:50,4,18.5
21-08-2021 00:55,4,18.5
21-08-2021 01:00,4,18.6
21-08-2021 01:05,4,18.6
21-08-2021 01:10,4,18.6
21-08-2021 01:15,4,18.6
21-08-2021 01:20,4,18.6
21-08-2021 01:25,4,18.6
21-08-2021 01:30,3,18.6
21-08-2021 01:35,3,18.5
21-08-2021 01:40,4,18.5
21-08-2021 01:45,4,18.5
21-08-2021 01:50,4,18.5
21-08-2021 01:55,4,18.5
21-08-2021 02:00,3,18.5
21-08-2021 02:05,3,18.4
21-08-2021 02:10,3,18.4
21-08-2021 02:15,2,18.4
21-08-2021 02:20,2,18.3
21-08-2021 02:25,3,18.3
21-08-2021 02:30,3,18.3
21-08-2021 02:35,3,18.3
21-08-2021 02:40,4,18.3
21-08-2021 02:45,4,18.2
21-08-2021 02:50,4,18.2
21-08-2021 02:55,4,18.2
21-08-2021 03:00,4,18.2
21-08-2021 03:05,4,18.2
21-08-2021 03:10,4,18.1
21-08-2021 03:15,4,18.1
21-08-2021 03:20,4,18.1
21-08-2021 03:25,4,18.1
21-08-2021 03:30,4,18.1
21-08-2021 03:35,4,18.1
21-08-2021 03:40,4,18.1
21-08-2021 03:45,4,18.1
21-08-2021 03:50,4,18.1
21-08-2021 03:55,5,18.1
21-08-2021 04:00,4,18.1
21-08-2021 04:05,4,18.1
21-08-2021 04:10,4,18.1
21-08-2021 04:15,4,18.1
21-08-2021 04:20,4,18.1
21-08-2021 04:25,4,18.1
21-08-2021 04:30,4,18.1
21-08-2021 04:35,4,18.1
21-08-2021 04:40,5,18.1
21-08-2021 04:45,5,18.1
21-08-2021 04:50,4,18.1
21-08-2021 04:55,4,18.1
21-08-2021 05:00,5,18.1
21-08-2021 05:05,5,18.1
21-08-2021 05:10,4,18
21-08-2021 05:15,4,18
21-08-2021 05:20,4,18
21-08-2021 05:25,4,18
21-08-2021 05:30,4,18
21-08-2021 05:35,4,17.9
21-08-2021 05:40,4,17.9
21-08-2021 05:45,4,17.9
21-08-2021 05:50,4,17.9
21-08-2021 05:55,4,17.9
21-08-2021 06:00,4,17.9
21-08-2021 06:05,4,17.8
21-08-2021 06:10,4,17.8
21-08-2021 06:15,4,17.7
21-08-2021 06:20,4,17.7
21-08-2021 06:25,4,17.7
21-08-2021 06:30,4,17.7
21-08-2021 06:35,4,17.6
21-08-2021 06:40,5,17.6
21-08-2021 06:45,5,17.6
21-08-2021 06:50,5,17.6
21-08-2021 06:55,5,17.6
21-08-2021 07:00,5,17.6
21-08-2021 07:05,5,17.6
21-08-2021 07:10,5,17.7
21-08-2021 07:15,5,17.7
21-08-2021 07:20,5,17.7
21-08-2021 07:25,5,17.7
21-08-2021 07:30,5,17.7
21-08-2021 07:35,5,17.7
21-08-2021 07:40,4,17.7
21-08-2021 07:45,4,17.8
21-08-2021 07:50,5,17.8
21-08-2021 07:55,5,17.8
21-08-2021 08:00,5,17.8
21-08-2021 08:05,5,17.9
21-08-2021 08:10,5,17.9
21-08-2021 08:15,5,17.9
21-08-2021 08:20,5,18
21-08-2021 08:25,5,18
21-08-2021 08:30,5,18.1
21-08-2021 08:35,5,18.2
21-08-2021 08:40,5,18.3
21-08-2021 08:45,5,18.3
21-08-2021 08:50,5,18.4
21-08-2021 08:55,5,18.5
21-08-2021 09:00,5,18.6
21-08-2021 09:05,5,18.7
21-08-2021 09:10,5,18.8
21-08-2021 09:15,5,18.9
21-08-2021 09:20,5,18.9
21-08-2021 09:25,5,19
21-08-2021 09:30,5,19
21-08-2021 09:35,5,19.1
21-08-2021 09:40,5,19.1
21-08-2021 09:45,5,19.1
21-08-2021 09:50,5,19.2
21-08-2021 09:55,5,19.2
21-08-2021 10:00,5,19.3
21-08-2021 10:05,5,19.3
21-08-2021 10:10,5,19.4
21-08-2021 10:15,5,19.5
21-08-2021 10:20,5,19.6
21-08-2021 10:25,5,19.8
21-08-2021 10:30,5,19.9
21-08-2021 10:35,5,20
21-08-2021 10:40,6,20.1
21-08-2021 10:45,6,20.2
21-08-2021 10:50,5,20.3
21-08-2021 10:55,5,20.5
21-08-2021 11:00,5,20.6
21-08-2021 11:05,5,20.7
21-08-2021 11:10,4,20.8
21-08-2021 11:15,4,20.9
21-08-2021 11:20,4,20.9
21-08-2021 11:25,4,21
21-08-2021 11:30,4,21.2
21-08-2021 11:35,4,21.4
21-08-2021 11:40,5,21.5
21-08-2021 11:45,5,21.6
21-08-2021 11:50,5,21.6
21-08-2021 11:55,5,21.7
